,EUR_rates
AED,3.952299
AFN,94.126013
ALL,110.819185
AMD,415.37776
ANG,1.937161
AOA,584.385966
ARS,253.647728
AUD,1.644485
AWG,1.939987
AZN,1.831522
BAM,1.955338
BBD,2.170247
BDT,115.260627
BGN,1.954851
BHD,0.405728
BIF,3031.727396
BMD,1.076276
BND,1.449431
BOB,7.426935
BRL,5.326917
BSD,1.074926
BTC,4.0869059e-05
BTN,88.851293
BWP,14.594281
BYN,2.713109
BYR,21095.004162
BZD,2.166648
CAD,1.463218
CDF,2513.103733
CHF,0.973749
CLF,0.031434
CLP,867.392051
CNY,7.594223
COP,4801.890238
CRC,577.139516
CUC,1.076276
CUP,28.521307
CVE,110.230885
CZK,23.670581
DJF,191.381229
DKK,7.448808
DOP,58.683682
DZD,147.162381
EGP,33.254011
ERN,16.144136
ETB,58.672985
EUR,1.0
FJD,2.412741
FKP,0.866424
GBP,0.869824
GEL,2.765737
GGP,0.866424
GHS,11.823712
GIP,0.866424
GMD,64.210114
GNF,9239.645375
GTQ,8.389667
GYD,227.326788
HKD,8.427137
HNL,26.419408
HRK,7.474025
HTG,152.631104
HUF,372.245039
IDR,16074.124103
ILS,4.002883
IMP,0.866424
INR,88.959034
IQD,1408.041176
IRR,45472.649318
ISK,151.098253
JEP,0.866424
JMD,165.523973
JOD,0.763611
JPY,149.700802
KES,148.640304
KGS,94.195756
KHR,4418.873897
KMF,492.180322
KPW,968.581294
KRW,1420.097439
KWD,0.330879
KYD,0.895772
KZT,480.047665
LAK,18952.72986
LBP,16137.012819
LKR,326.776724
LRD,180.141622
LSL,20.67528
LTL,3.177962
LVL,0.651028
LYD,5.166515
MAD,10.965451
MDL,19.089692
MGA,4722.686774
MKD,61.604873
MMK,2257.22477
MNT,3762.655905
MOP,8.672089
MRO,384.230248
MUR,48.97983
MVR,16.520817
MWK,1103.993015
MXN,19.159161
MYR,4.941722
MZN,68.074446
NAD,20.675327
NGN,495.925914
NIO,39.309982
NOK,11.793297
NPR,142.162469
NZD,1.760044
OMR,0.414403
PAB,1.074826
PEN,3.952701
PGK,3.802031
PHP,59.994839
PKR,307.998556
PLN,4.503041
PYG,7768.839737
QAR,3.918684
RON,4.963755
RSD,117.281234
RUB,86.484159
RWF,1208.29208
SAR,4.036272
SBD,8.969861
SCR,15.142286
SDG,646.29993
SEK,11.527494
SGD,1.451675
SHP,1.309558
SLE,24.286116
SLL,21256.445386
SOS,611.860098
SRD,40.262421
STD,22276.734465
SVC,9.405603
SYP,2704.155823
SZL,20.730717
THB,37.227831
TJS,11.737609
TMT,3.766965
TND,3.332687
TOP,2.539471
TRY,21.41146
TTD,7.292972
TWD,33.189071
TZS,2541.05244
UAH,39.692085
UGX,4006.978864
USD,1.076276
UYU,41.787992
UZS,12272.473395
VEF,2795340.707787
VES,27.949802
VND,25265.572587
VUV,128.153611
WST,2.920814
XAF,655.789879
XAG,0.046308
XAU,0.000546
XCD,2.908689
XDR,0.805895
XOF,655.783787
XPF,119.735534
YER,269.386716
ZAR,20.668853
ZMK,9687.772549
ZMW,20.610269
ZWL,346.560344
